Workbook row,Priority,Keyword,Language,Source type,Intent,Origin,Destination,Service / modifier,Recommended cluster,Current page,Current ranking evidence,Existing coverage,Missing coverage,Cannibalization risk,Classification,Recommended action,Evidence / handling note
17,P0,المسافة من الظهران الى البحرين بالسيارة,AR,Systematic long-tail expansion,Informational,الظهران,البحرين,مسافة,الظهران ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-dhahran/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
18,P0,المسافة من مدينة الكويت الى البحرين بالسيارة,AR,Systematic long-tail expansion,Informational,مدينة الكويت,البحرين,مسافة,مدينة الكويت ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-kuwait/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
19,P0,المسافة من مطار الدمام الى البحرين بالسيارة,AR,Systematic long-tail expansion,Informational,مطار الدمام,البحرين,مسافة,مطار الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-airport-to-bahrain/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
20,P0,بكم التوصيل من أرامكو الى البحرين,AR,Systematic long-tail expansion,Price,أرامكو,البحرين,سعر,أرامكو ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-aramco/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
21,P0,بكم التوصيل من البحرين الى أرامكو,AR,Systematic long-tail expansion,Price,البحرين,أرامكو,سعر,البحرين ← أرامكو,/bahrain-saudi-gcc-transport/aramco-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
22,P0,بكم التوصيل من البحرين الى الخبر,AR,Systematic long-tail expansion,Price,البحرين,الخبر,سعر,البحرين ← الخبر,/bahrain-saudi-gcc-transport/bahrain-to-khobar/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
23,P0,بكم التوصيل من البحرين الى الدمام,AR,Systematic long-tail expansion,Price,البحرين,الدمام,سعر,البحرين ← الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
24,P0,بكم التوصيل من البحرين الى الدوحة,AR,Systematic long-tail expansion,Price,البحرين,الدوحة,سعر,البحرين ← الدوحة,/bahrain-saudi-gcc-transport/qatar-to-bahrain/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
25,P0,بكم التوصيل من البحرين الى الظهران,AR,Systematic long-tail expansion,Price,البحرين,الظهران,سعر,البحرين ← الظهران,/bahrain-saudi-gcc-transport/dhahran-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
26,P0,بكم التوصيل من البحرين الى مدينة الكويت,AR,Systematic long-tail expansion,Price,البحرين,مدينة الكويت,سعر,البحرين ← مدينة الكويت,/bahrain-saudi-gcc-transport/kuwait-to-bahrain/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
27,P0,بكم التوصيل من البحرين الى مطار الدمام,AR,Systematic long-tail expansion,Price,البحرين,مطار الدمام,سعر,البحرين ← مطار الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam-airport/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
28,P0,بكم التوصيل من الخبر الى البحرين,AR,Systematic long-tail expansion,Price,الخبر,البحرين,سعر,الخبر ← البحرين,/bahrain-saudi-gcc-transport/khobar-to-bahrain/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
29,P0,بكم التوصيل من الدمام الى البحرين,AR,Systematic long-tail expansion,Price,الدمام,البحرين,سعر,الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-to-bahrain/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
30,P0,بكم التوصيل من الدوحة الى البحرين,AR,Systematic long-tail expansion,Price,الدوحة,البحرين,سعر,الدوحة ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-qatar/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
31,P0,بكم التوصيل من الظهران الى البحرين,AR,Systematic long-tail expansion,Price,الظهران,البحرين,سعر,الظهران ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-dhahran/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
32,P0,بكم التوصيل من مدينة الكويت الى البحرين,AR,Systematic long-tail expansion,Price,مدينة الكويت,البحرين,سعر,مدينة الكويت ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-kuwait/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
33,P0,بكم التوصيل من مطار الدمام الى البحرين,AR,Systematic long-tail expansion,Price,مطار الدمام,البحرين,سعر,مطار الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-airport-to-bahrain/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
34,P0,تاكسي من أرامكو الى البحرين,AR,Systematic long-tail expansion,Commercial,أرامكو,البحرين,تاكسي,أرامكو ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-aramco/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
35,P0,تاكسي من البحرين الى أرامكو,AR,Systematic long-tail expansion,Commercial,البحرين,أرامكو,تاكسي,البحرين ← أرامكو,/bahrain-saudi-gcc-transport/aramco-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
36,P0,تاكسي من البحرين الى الخبر,AR,Systematic long-tail expansion,Commercial,البحرين,الخبر,تاكسي,البحرين ← الخبر,/bahrain-saudi-gcc-transport/bahrain-to-khobar/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
37,P0,تاكسي من البحرين الى الدمام,AR,Systematic long-tail expansion,Commercial,البحرين,الدمام,تاكسي,البحرين ← الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
38,P0,تاكسي من البحرين الى الدوحة,AR,Systematic long-tail expansion,Commercial,البحرين,الدوحة,تاكسي,البحرين ← الدوحة,/bahrain-saudi-gcc-transport/qatar-to-bahrain/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
39,P0,تاكسي من البحرين الى الظهران,AR,Systematic long-tail expansion,Commercial,البحرين,الظهران,تاكسي,البحرين ← الظهران,/bahrain-saudi-gcc-transport/dhahran-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
40,P0,تاكسي من البحرين الى مدينة الكويت,AR,Systematic long-tail expansion,Commercial,البحرين,مدينة الكويت,تاكسي,البحرين ← مدينة الكويت,/bahrain-saudi-gcc-transport/kuwait-to-bahrain/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
41,P0,تاكسي من البحرين الى مطار الدمام,AR,Systematic long-tail expansion,Commercial,البحرين,مطار الدمام,تاكسي,البحرين ← مطار الدمام,/bahrain-saudi-gcc-transport/bahrain-to-dammam-airport/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
42,P0,تاكسي من الخبر الى البحرين,AR,Systematic long-tail expansion,Commercial,الخبر,البحرين,تاكسي,الخبر ← البحرين,/bahrain-saudi-gcc-transport/khobar-to-bahrain/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
43,P0,تاكسي من الدمام الى البحرين,AR,Systematic long-tail expansion,Commercial,الدمام,البحرين,تاكسي,الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-to-bahrain/,GSC avg position 14.14; page-two growth opportunity,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
44,P0,تاكسي من الدوحة الى البحرين,AR,Systematic long-tail expansion,Commercial,الدوحة,البحرين,تاكسي,الدوحة ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-qatar/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
45,P0,تاكسي من الظهران الى البحرين,AR,Systematic long-tail expansion,Commercial,الظهران,البحرين,تاكسي,الظهران ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-dhahran/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
46,P0,تاكسي من مدينة الكويت الى البحرين,AR,Systematic long-tail expansion,Commercial,مدينة الكويت,البحرين,تاكسي,مدينة الكويت ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-kuwait/,GSC avg position 8.48; page-one winner with CTR opportunity,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
47,P0,تاكسي من مطار الدمام الى البحرين,AR,Systematic long-tail expansion,Commercial,مطار الدمام,البحرين,تاكسي,مطار الدمام ← البحرين,/bahrain-saudi-gcc-transport/dammam-airport-to-bahrain/,Covered by route and dedicated airport pages; no separate numeric position supplied,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
48,P0,توصيل اغراض من أرامكو الى البحرين,AR,Systematic long-tail expansion,Commercial,أرامكو,البحرين,طرود صغيرة,أرامكو ← البحرين,/bahrain-saudi-gcc-transport/bahrain-to-aramco/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
49,P0,توصيل اغراض من البحرين الى أرامكو,AR,Systematic long-tail expansion,Commercial,البحرين,أرامكو,طرود صغيرة,البحرين ← أرامكو,/bahrain-saudi-gcc-transport/aramco-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
50,P0,توصيل اغراض من البحرين الى الخبر,AR,Systematic long-tail expansion,Commercial,البحرين,الخبر,طرود صغيرة,البحرين ← الخبر,/bahrain-saudi-gcc-transport/bahrain-to-khobar/,GSC avg position 22.66; authority/ranking gap,Dedicated bilingual route page exists,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
51,P0,توصيل اغراض من البحرين الى الدمام,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/bahrain-to-dammam/,GSC avg position 14.14; page-two growth opportunity,No exact phrase found; contextual coverage required,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Medium; avoid duplicating the paired route or airport page,Improve underperforming existing page,Add naturally to the existing bilingual route/airport page and strengthen related internal links and FAQs,Directly observed in Google Bahrain suggestions on 16 Sep 2026
52,P0,توصيل اغراض من البحرين الى الدوحة,AR,Systematic long-tail expansion,Commercial,البحرين,الدوحة,طرود صغيرة,البحرين ← الدوحة,/bahrain-saudi-gcc-transport/qatar-to-bahrain/,GSC avg position 7.88; page-one winner,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
53,P0,توصيل اغراض من البحرين الى الظهران,AR,Systematic long-tail expansion,Commercial,البحرين,الظهران,طرود صغيرة,البحرين ← الظهران,/bahrain-saudi-gcc-transport/dhahran-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,توسعة منهجية لعبارات المسار والخدمة؛ ليست حجم بحث موثق
54,P0,توصيل اغراض من البحرين الى الكويت,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 8.48; page-one winner with CTR opportunity,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Directly observed in Google Bahrain suggestions on 16 Sep 2026
55,P0,توصيل اغراض من البحرين الى قطر,AR,Google Autocomplete — observed,Commercial,,,Observed wording,Route / service cluster,/bahrain-saudi-gcc-transport/,GSC avg position 7.88; page-one winner,No exact phrase found; contextual coverage required,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Directly observed in Google Bahrain suggestions on 16 Sep 2026
